affichage,champs,colonnes
SYNTHETIQUE,AEP - Ouvrage,aep_ouvrage
SYNTHETIQUE,AEP  - Emprise ouvrage,aep_emprise_ouvrage
SYNTHETIQUE,AEP - Arc fictif,aep_arc_fictif
SYNTHETIQUE,AEP - Defense incendie,aep_defense_incendie
SYNTHETIQUE,AEP - Raccord,aep_raccord
SYNTHETIQUE,AEP - Branche,aep_branche
SYNTHETIQUE,AEP - Vanne de branche,aep_vanne_de_branche
SYNTHETIQUE,AEP - Compteur de branche,aep_compteur_de_branche
SYNTHETIQUE,AEP - Noeud,aep_noeud
SYNTHETIQUE,AEP - Canalisation,aep_canalisation
SYNTHETIQUE,AEP - Equipement Public,aep_equipement_public
SYNTHETIQUE,AEP - Purge,aep_purge
SYNTHETIQUE,AEP - Regulation,aep_regulation
SYNTHETIQUE,AEP - Equipement disperse,aep_equipement_disperse
SYNTHETIQUE,AEP - Cable alimentation,aep_cable_alimentation
SYNTHETIQUE,AEP - Alimentation externe,aep_alimentation_externe
SYNTHETIQUE,Synthese AEP,synthese_aep
SYNTHETIQUE,AEP - Vanne,aep_vanne
SYNTHETIQUE,AEP - Compteur,aep_compteur
SYNTHETIQUE,AEP - Génératrice sup.,aep_generatrice_sup
SYNTHETIQUE,Edition Grand format,edition_grand_format
SYNTHETIQUE,Campagne Relève,georef_campagne
SYNTHETIQUE,ASS - Surface collecte,ass_surface_collecte
SYNTHETIQUE,ASS - Caniveau / collecteur EP,ass_caniveau_collecteur_ep
SYNTHETIQUE,ASS - Boîte de branchement,ass_boite_de_branchement
SYNTHETIQUE,ASS - Drain,ass_drain
SYNTHETIQUE,ASS - Equipement,ass_equipement
SYNTHETIQUE,ASS - Ouvrage,ass_ouvrage
SYNTHETIQUE,ASS - Emprise ouvrage,ass_emprise_ouvrage
SYNTHETIQUE,ASS - Canalisation Fictive,ass_canalisation_fictive
SYNTHETIQUE,ASS - Avaloir,ass_avaloir
SYNTHETIQUE,ASS - Raccord,ass_raccord
SYNTHETIQUE,ASS - Equipement branche,ass_equipement_branche
SYNTHETIQUE,ASS - Branche,ass_branche
SYNTHETIQUE,ASS - Regard,ass_regard
SYNTHETIQUE,ASS - Noeud,ass_noeud
SYNTHETIQUE,ASS - Exutoire,ass_exutoire
SYNTHETIQUE,ASS - Collecteur,ass_collecteur
SYNTHETIQUE,ASS - Equipement disperse,ass_equipement_disperse
SYNTHETIQUE,ASS - Cable alimentation,ass_cable_alimentation
SYNTHETIQUE,ASS - Alimentation externe,ass_alimentation_externe
SYNTHETIQUE,Synthese ASS,synthese_ass
SYNTHETIQUE,"ASS - Surface hydraulique (cours d'eau,   fosse)",ass_surface_hydraulique
SYNTHETIQUE,ASS - Génératrice sup,ass_generatrice_sup
SYNTHETIQUE,Longueur Ss. Vide KM,km_ssvide
SYNTHETIQUE,Validation,valide
SYNTHETIQUE,Valeur,valeur
SYNTHETIQUE,Nbre Vanne,nb_vanne
SYNTHETIQUE,VDOP,vdop
SYNTHETIQUE,Volume,volume
SYNTHETIQUE,Ecoulement,ecoulement
SYNTHETIQUE,Nbre Compteur,nb_cpteur
SYNTHETIQUE,Type eau,type_eau
SYNTHETIQUE,Largeur,largeur
SYNTHETIQUE,Type travaux,type_tvx
SYNTHETIQUE,ASS - Annotation Ligne,ass_annotation_ligne
SYNTHETIQUE,ASS - Annotation Point,ass_annotation_point
SYNTHETIQUE,ASS - Annotation Polygon,ass_annotation_polygon
SYNTHETIQUE,ASS - Zone de collecte,ass_zone_de_collecte
SYNTHETIQUE,ASS - Table Journal (ligne),ass_table_journal_ligne
SYNTHETIQUE,ASS - Table Journal (point),ass_table_journal_point
SYNTHETIQUE,ASS - Relève (ligne),ass_ligne_releve
SYNTHETIQUE,ASS - Relève (point),ass_point_releve
SYNTHETIQUE,X,x
SYNTHETIQUE,Y,y
SYNTHETIQUE,Z relève (matrice sup.),z
SYNTHETIQUE,Code ZIP,code_zip
